Scene Number,Scene Name,Split,Instruction Type,Instruction,Annotator,Source Row
78,scene-0078,test,S,"after the stop sign, stay on the right to go straight",Annotator 11,3
78,scene-0078,test,S,"stop at the stopsign, and change into the right lane",Annotator 10,3
78,scene-0078,test,s,stop at the stop sign,Annotator 12,3
78,scene-0078,test,s,stop at the stop sign and proceed forward after making sure there are no pedestrians,Annotator 9,3
78,scene-0078,test,s,stopped at stop sign and then move to right lane,Annotator 8,3
79,scene-0079,test,D,follow the vehicle in front of you,Annotator 10,4
79,scene-0079,test,d,keep following the vehicle ahead of you,Annotator 9,4
79,scene-0079,test,d,"stay in the lane, watchout for oncoming traffic",Annotator 12,4
79,scene-0079,test,unknown,slight right curve,Annotator 8,4
79,scene-0079,test,unknown,slow down as you go around the curve,Annotator 11,4
80,scene-0080,test,d,drive forward and then stop behind car,Annotator 8,5
80,scene-0080,test,d,stop behing the car indicating left,Annotator 7,4
80,scene-0080,test,d,watch out for the cars turning left,Annotator 11,5
80,scene-0080,test,s,stop for the car stopped at the intersection,Annotator 12,5
81,scene-0081,test,D,hang right as you approach the man on the road,Annotator 10,6
81,scene-0081,test,d,be cautious of cars moving out of the lane and watch for instruction of cross guard,Annotator 12,6
81,scene-0081,test,d,follow cars infront and then watch for construction person,Annotator 8,6
81,scene-0081,test,d,go forward once the red car starts moving and keep going forward as the traffic conducor indicates to,Annotator 7,5
81,scene-0081,test,d,"keep behind the red car, go straight then follow the man in the yellow vest",Annotator 11,6
81,scene-0081,test,d,pass by the guy guided the street,Annotator 9,7
81,scene-0081,test,d,stay behind the pedestrian walk until the red car in front of you proceeds to move,Annotator 9,6
82,scene-0082,test,d,stay on the left side to make space for the bicyclist,Annotator 11,7
82,scene-0082,test,d,watchout for incoming traffic,Annotator 12,7
83,scene-0083,test,D,Slow down and let the pedestrian cross,Annotator 10,8
83,scene-0083,test,d,let the pedestrian cross the road before going straight,Annotator 9,9
83,scene-0083,test,d,slow down and stop for the man to cross the road then keep moving forward slowly,Annotator 7,7
83,scene-0083,test,d,slow down and stop to let the pedestrian pass,Annotator 11,8
83,scene-0083,test,d,slow down for person crossing road,Annotator 8,8
83,scene-0083,test,d,slow down for stopping car and watchout for pedestrian crossing the road,Annotator 12,8
84,scene-0084,test,D,Turn left and follow the truck in front of you,Annotator 10,9
84,scene-0084,test,d,take the left turn and stay behind the truck,Annotator 12,9
84,scene-0084,test,d,turn left and follow the semi truck,Annotator 11,9
84,scene-0084,test,unknown,make a left turn at the intersection,Annotator 9,10
84,scene-0084,test,unknown,turn left,Annotator 7,8
85,scene-0085,test,S,Turn left here,Annotator 10,10
85,scene-0085,test,d,make a left turn once the car from the left has passed,Annotator 9,11
85,scene-0085,test,d,turn left after there are no incoming cars and slow down for the stop sign,Annotator 12,10
85,scene-0085,test,d,wait for car to go by and then turn left,Annotator 8,10
85,scene-0085,test,d,wait for the green car to pass then turn left,Annotator 7,9
85,scene-0085,test,unknown,turn left,Annotator 11,10
87,scene-0087,test,s,slow down and stop at the stop sign,Annotator 7,11
87,scene-0087,test,s,stop at stop sign and wait for cars to go by,Annotator 8,12
87,scene-0087,test,s,stop at the stop sign,Annotator 12,12
87,scene-0087,test,s,stop at the stopsign,Annotator 9,13
87,scene-0087,test,"s,d",at the stop sign watch out for incoming traffic on the right,Annotator 11,12
88,scene-0088,test,S,"Turn right, then turn left at the next stop sign",Annotator 10,13
88,scene-0088,test,d,take a right turn after the truck goes and slow down for the stop sign,Annotator 12,13
88,scene-0088,test,d,"wait for the truck to pass then turn right. at the next stop sign, turn left",Annotator 7,12
88,scene-0088,test,ds,"make a right turn, stop at the stop sign, then make a left turn",Annotator 9,14
88,scene-0088,test,s,"turn right, stop at stop sign, and turn left",Annotator 8,13
88,scene-0088,test,"s,d","follow the yellow semi truck, turn right, then turn left at the stop sign",Annotator 11,13
91,scene-0091,test,D,Hang left and go around the biker,Annotator 10,16
91,scene-0091,test,d,make a right turn and slightly go left to avoid hitting the byclist then go back on the right side,Annotator 9,17
91,scene-0091,test,d,make space for the bicyclist on your right,Annotator 11,16
91,scene-0091,test,d,"turn right, watch for bicycle",Annotator 8,16
91,scene-0091,test,s,stay cautious of bicycle rider.,Annotator 12,16
91,scene-0091,test,unknown,turn right,Annotator 7,15
111,scene-0111,test,D,turn left where the construction is,Annotator 10,17
111,scene-0111,test,d,"follow the instructions from the person in the vest, and watch out for stopped vehicles in the road",Annotator 11,17
111,scene-0111,test,d,go forward according to the construction person and then turn left,Annotator 8,17
111,scene-0111,test,d,go forward following instruction and watch out for incoming traffic as you are going into the lane,Annotator 12,17
111,scene-0111,test,d,turn left as long as the traffic conductor permits you to drive ahead,Annotator 7,16
111,scene-0111,test,unknown,make a left turn and stay on the right side of the road,Annotator 9,18
